,param_n_estimators,param_max_depth,mean_train_score,mean_test_score,mean_fit_time
0,200,200,0.9984183991528667,0.9140033546398295,4.598413276672363
1,400,200,0.998458694061328,0.9151366789065688,9.20405638217926
2,600,200,0.9985040318276873,0.9155446756425949,13.732148385047912
3,800,200,0.9984435868008441,0.9161340042612992,18.137361764907837
4,1000,200,0.9984738096948588,0.9154993426719253,23.606641364097595
5,1200,200,0.9984586986284446,0.915318010789247,28.62244646549225
6,1400,200,0.9984687706428911,0.9159073394079514,33.5900913476944
7,1600,200,0.9984586948225141,0.9163606691146471,38.653449821472165
8,1800,200,0.998478844940896,0.916587333967995,44.40484690666199
9,2000,200,0.9984889184777149,0.9154540097012557,46.99005460739136
